rank,gid,role,priority_score,why
1,100000003115284100,consolidator,0.8416,"признаки консолидации: 8 плательщиков (из них seed: 2), получил 2.2 млн; отдал дальше 24%; до 7 плательщиков в день; связан с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~39%. Приоритет: верхние 10% по seed-деньгам (~850 тыс), крупный оборот (2.2 млн). Роль устойчива в 100% вариантов порогов. Кластер 16. Требует проверки."
2,100000004015047100,consolidator,0.7954,"признаки консолидации: 9 плательщиков (из них seed: 3), получил 919 тыс; отдал дальше 8%; связан с 3 seed; взаимные переводы с 1; доля seed-денег ~64%. Приоритет: верхние 10% по seed-деньгам (~585 тыс). Роль устойчива в 100% вариантов порогов. Кластер 14. Требует проверки."
3,100000008165763100,coordinator,0.7849,"признаки координации: 15 плательщиков и 17 получателей; связан с 1 seed. Приоритет: верхние 10% по seed-деньгам (~189 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (1.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Требует проверки."
4,100000004070318100,distributor,0.7782,"веерная рассылка: 19 получателей, отправил 552 тыс; видимый вход 207 тыс, источник вне выгрузки; связан с 3 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 67% вариантов порогов. Кластер 2. Требует проверки."
5,100000008686313100,consolidator,0.7571,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 1.9 млн; отдал дальше 17%; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~233 тыс), крупный оборот (1.9 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
6,100000008346837100,coordinator,0.7563,признаки координации: 9 плательщиков и 25 получателей; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: синхронные поступления от нескольких плательщиков. Роль устойчива в 100% вариантов порогов. Кластер 12. Требует проверки.
7,100000004707703100,transit,0.7503,"признаки транзита: получил 239 тыс, отправил 232 тыс (97%); 89% отправлено в течение 2 дней после входа; связан с 3 seed; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~239 тыс). Роль устойчива в 100% вариантов порогов. Кластер 4. Требует проверки."
8,100000004135268100,transit,0.7455,"признаки транзита: получил 1.2 млн, отправил 1.0 млн (81%); 85% отправлено в течение 2 дней после входа; связан с 1 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~98%. Приоритет: верхние 10% по seed-деньгам (~1.2 млн). Роль устойчива в 100% вариантов порогов. Кластер 62. Требует проверки."
9,100000008304139100,distributor,0.7451,"веерная рассылка: 24 получателя, отправил 1.7 млн; видимый вход 189 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.7 млн). Роль устойчива в 67% вариантов порогов. Кластер 3. Требует проверки."
10,100000004156082100,distributor,0.7418,"веерная рассылка: 26 получателей, отправил 2.3 млн; видимый вход 377 тыс, источник вне выгрузки; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (2.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 18. Требует проверки."
11,100000004351795100,distributor,0.7331,"веерная рассылка: 14 получателей, отправил 1.7 млн; видимый вход 118 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.7 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
12,100000003684369100,coordinator,0.7289,"[seed] признаки координации: 24 плательщика и 62 получателя; связан ещё с 1 seed; взаимные переводы с 1; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~500 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (8.6 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Уже известен (seed). Требует проверки."
13,100000004299488100,consolidator,0.7269,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 1.7 млн; отдал дальше 20%; до 3 плательщиков в день; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~417 тыс), крупный оборот (1.7 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
14,100000008603629100,distributor,0.7235,"веерная рассылка: 61 получатель, отправил 5.0 млн; видимый вход 1.8 млн, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (5.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 6. Требует проверки."
